# EFIGI_SDSS.txt version 1.6.2 :
#
#        This file contains the PGC name, 
#        the unique SDSS photometric identifier and SDSS spectroscopic identifier,
#        the SDSS redshift, uncertainty and confidence level,
#	 for the 4458 galaxies of the EFIGI catalogue
#
# Table provided from http://efigi.org 
#
# Any use of these data must reference :
#  Baillard, B., Bertin, E., de Lapparent, V., et al. 2011, A&A, 532, A74
#
# Comments on table content should be sent to the EFIGI user forum: http://efigi.org/forum
# or to Valerie de Lapparent (lapparen at iap.fr) and Emmanuel Bertin (bertin at iap.fr)
#
###########################################################################################################################
#
# Description  
#--------------
#
#      PGC_name	     PGC name		
#      objID	     Unique SDSS photometric identifier composed from skyVersion, rerun, run, camcol, field, obj
#      specObjID     Unique SDSS spectroscopic identifier
#      z  	     Redshift 
#      zErr  	     Uncertainty in redshift 
#      zConf         Confidence level in redshift 
#
# Notes  
#-------
#
#    Objects are ordered with increasing PGC number
#    Undefined values of SDSS photometric and spectroscopic identifiers are listed as "none"
#    Undefined values of z, zErr and zConf are listed as -99.99
#    
###########################################################################################################################
#
# PGC_name       objId            SpecObjId             z         zErr         zConf
PGC0008225 587727177926508588 187967848704901120     0.01282    0.000201      0.9967
PGC0008228 587727177926508587        none             -99.99      -99.99      -99.99
PGC0008232 587727178463445085        none             -99.99      -99.99      -99.99
PGC0008250 587727177926574089 187967848751038464     0.01287   0.0001002      0.9878
PGC0008258 587727781890162767        none             -99.99      -99.99      -99.99
PGC0008295 587727178463510609        none             -99.99      -99.99      -99.99
PGC0008302 587731514222444748        none             -99.99      -99.99      -99.99
PGC0008397 587727779742810176        none             -99.99      -99.99      -99.99
PGC0008399 587724199895892020        none             -99.99      -99.99      -99.99
PGC0008406 587724233721184357        none             -99.99      -99.99      -99.99
PGC0008412 587724233721184514 120694127858810880     0.01285   0.0001335      0.6796
PGC0008439 588015508210122861 114219914499194880     0.04078   0.0001803      0.9995
PGC0008464 587724233721249835        none             -99.99      -99.99      -99.99
PGC0008502 587727781890555910        none             -99.99      -99.99      -99.99
PGC0008522 587724199359217826 120694128139829248     0.04105   0.0001932       0.999
PGC0008526 588015508210253889 114219914146873344     0.02012   0.0001826      0.9958
PGC0008586 588015508210319491        none             -99.99      -99.99      -99.99
PGC0008659 588015508210516022 114219914226565120     0.02679   0.0001602      0.9996
PGC0008718 587731514223165496 114219916122390528     0.02146   0.0001874      0.9982
PGC0008876 588015508747780123 114219913740025856     0.02578   0.0001125      0.9936
PGC0008929 588015509821653051        none             -99.99      -99.99      -99.99
PGC0008979        none               none             -99.99      -99.99      -99.99
PGC0009028 587731512076271697        none             -99.99      -99.99      -99.99
PGC0009256 588015508748501057 114501616513581056     0.02132   0.0001453      0.9995
PGC0009283 587731514224214025 114501618556207104    0.005125   6.304e-06      0.9462
PGC0009352 588015508748632129 114501616521969664     0.02107   0.0001966       0.999
PGC0009359 588015507674890331        none             -99.99      -99.99      -99.99
PGC0009376 588015509822439529 114501618715590656      0.0409   0.0001704      0.9994
PGC0009406 587731512076927167        none             -99.99      -99.99      -99.99
PGC0009414 588015507675021334 198664056888885248        -100        -100      -99.99
PGC0009445 587731513150734392 114782882404237312     0.02019   0.0001572      0.9994
PGC0009514 587731514224541741 114782882270019584     0.02218   0.0001706      0.9997
PGC0009530 588015510359572500 198664057597722624        -100        -100      -99.99
PGC0009549 588015507675217979        none             -99.99      -99.99      -99.99
PGC0009617 587731513150996629 114782882806890496     0.02123   0.0001526      0.9993
PGC0009621 587724240151183412 128012582635175936     0.01631   0.0001761      0.9992
PGC0009642 587731514224803860 114782882932719616     0.02201   0.0002003      0.9991
PGC0009643 588015510359769093 114782882949496832      0.0219   0.0001028      0.9981
PGC0009684 587731513151127592 114782883041771520     0.02057   0.0001734      0.9996
PGC0009711 588015509822963821 114782883062743040     0.02244   0.0001082      0.9967
PGC0009765 588015510359965804 114782883297624064     0.02194   0.0001066      0.9641
PGC0009817 587724240688382008        none             -99.99      -99.99      -99.99
PGC0009822 587724242299060254 128294063643295744       0.022    9.34e-05      0.9992
PGC0009843 587724240151576634        none             -99.99      -99.99      -99.99
PGC0009846 587724242836062221 128294063571992576    0.005104   7.305e-05           1
PGC0009869 588015509823291572 114782883377315840    0.008903   0.0001775      0.9955
PGC0009880 588015508212744341 115064361189376000     0.03743   9.791e-05      0.9915
PGC0009894 587731513688391835 115064361512337408     0.02192    0.000154      0.9994
PGC0010060 587731514225590336        none             -99.99      -99.99      -99.99
PGC0010065 587727179540463625 128294064205332480    0.004244    9.94e-05      0.9936
PGC0010108 587724240689037353 128294062145929216      0.0243   0.0001577      0.9996
PGC0010117 587731514225721422        none             -99.99      -99.99      -99.99
PGC0010122 587727179003658284 128575542399074304    0.004603   8.951e-05      0.9952
PGC0010132 587727179540594730 128575542621372416    0.004827   7.957e-05           1
PGC0010137 587727179003658386 128294062171095040     0.03771   0.0002088      0.9821
PGC0010140 587727179003658385 128294062162706432     0.03876   0.0001869       0.999
PGC0010175 587724241225973824        none             -99.99      -99.99      -99.99
PGC0010208 588015509823946822 198945529000886272        -100        -100      -99.99
PGC0010213 587724241762975868 128294064490545152    0.004589   0.0001231      0.8595
PGC0010249 587727177930113043        none             -99.99      -99.99      -99.99
PGC0010285 587724241226170416 128575542227107840     0.03159   0.0001707       0.999
PGC0010290 587727178467049625        none             -99.99      -99.99      -99.99
PGC0010315 587731513152307288 115064362460250112     0.02672   0.0001714       0.999
PGC0010381 587731513689309196        none             -99.99      -99.99      -99.99
PGC0010464 587727180078055443        none             -99.99      -99.99      -99.99
PGC0010496 587731512078893078        none             -99.99      -99.99      -99.99
PGC0010507 588015508750729247        none             -99.99      -99.99      -99.99
PGC0010559 588015508750794869 115346050453078016     0.02147    0.000175      0.9985
PGC0010574 587731513152766115 115346051803643904     0.02788    9.68e-05      0.9974
PGC0010634 588015508750925900 115346050381774848     0.02166   9.854e-05      0.9985
PGC0010647 588015508214120485 115346050113339392     0.02162   0.0001169       0.989
PGC0010649 587731512079155258        none             -99.99      -99.99      -99.99
PGC0010651 588015510361604141 115346051988193280     0.02796   0.0001798      0.9995
PGC0010673 587727179541512255        none             -99.99      -99.99      -99.99
PGC0010697 587731511542349882 115346049895235584     0.02381   0.0001029       0.997
PGC0010726 587731512079220798 115346050201419776     0.02193   9.193e-05      0.9972
PGC0010747 587731511542415463 115346049945567232     0.02337   0.0001847      0.9934
PGC0010766 587727178467836049 128575541241446400     0.01776   0.0001125      0.9961
PGC0010794 587724242837700706        none             -99.99      -99.99      -99.99
PGC0010843 588015508214382729 115627289697320960     0.02326   0.0001686      0.9992
PGC0010854 588015507677577354        none             -99.99      -99.99      -99.99
PGC0010857 587731513690095737 115346052172742656      0.0293   0.0001733      0.9983
PGC0010875 587724240690348127 128856978519752704     0.01679   0.0001834      0.9976
PGC0011000 588015507677904953 115627288984289280      0.0236   0.0001572      0.9993
PGC0011007 587731512616747015 199508374075736064        -100        -100      -99.99
PGC0011067 587731514227425401 199508375807983616        -100        -100      -99.99
PGC0011075 587731513690554498 115627290494238720      0.0137   0.0001122      0.9903
PGC0011112 588015510362390600 115627290712342528     0.02299   9.899e-05      0.9985
PGC0011148 587727179542364181 128856979765460992     0.01736   9.408e-05      0.9928
PGC0011154 588015508751909007 115627288942346240     0.01575   0.0001773      0.9925
PGC0011170 588015508751908920 115627288925569024     0.02912   0.0001754      0.9992
PGC0011397 588015508215431348 115908768826392576    0.008856   0.0001019      0.8987
PGC0011537 588015507678887987 115908768658620416     0.01355   0.0001182      0.9876
PGC0011573 587727180080087118 129138574590214144    0.007133   0.0002096      0.9489
PGC0011598 587731514228408460 115908770109849600      0.0232   0.0001673      0.9976
PGC0011670 588015508216086589 115908767832342528     0.01075   0.0001606      0.9996
PGC0011751 587727179006738496 129420027530051584     0.01216   9.566e-06      0.8755
PGC0011767 587724241765924957 129138575324217344     0.02892   8.834e-05      0.9994
PGC0011813 587724240692248580 129420027303559168      0.0126   0.0001781       0.997
PGC0011912 588015508753481777        none             -99.99      -99.99      -99.99
PGC0011919 588015507679740019 200071443675873280        -100        -100      -99.99
PGC0011966 588015508753612814 200352915481690112        -100        -100      -99.99
PGC0012017 588015508753678429 116472200017477632     0.02607   0.0001929      0.9961
PGC0012090 587724241229709478 129420028524101632     0.03138   0.0001147       0.998
PGC0012163 587731512082169967 116472199669350400     0.02273   0.0001575      0.9991
PGC0012220 587731512619172003 116472199543521280     0.02283   0.0001022       0.996
PGC0012259 587724241230037003 129701502439653376     0.01749   0.0001022      0.9984
PGC0012262 587731512619237386 116472199551909888     0.02286   8.592e-05      0.9994
PGC0012466 587724242304041039        none             -99.99      -99.99      -99.99
PGC0012531 588015507680723132 200352914357616640        -100        -100      -99.99
PGC0012560 588015508754464842        none             -99.99      -99.99      -99.99
PGC0012620 588015507680854107 200634377430892544        -100        -100      -99.99
PGC0012633 587724241230495806 129701501990862848    0.009066   8.025e-05      0.9996
PGC0012655 588015509291532488 116472201233825792      0.0229   0.0001612      0.9994
PGC0012733 588015509291728975        none             -99.99      -99.99      -99.99
