PGC_name         RA        DEC          z_hel   z_hel_err   z_hel_cat       z_dis   z_dis_err   z_dis_cat       z_all  z_all_type  z_all_err  z_all_err_type   D_com       D_lum      D_diam
PGC0003232  13.6991667  13.6582778     0.01813   1.668e-05          HL     0.01823      -99.99          HL     0.01823         DIS   1.668e-05         HEL     77.8700     79.2895     76.4758
PGC0003312  13.9770000  -0.9208056     0.04497   8.072e-05          HL     0.04482      -99.99          HL     0.04482         DIS   8.072e-05         HEL    190.1070    198.6276    181.9519
PGC0003314  14.0089167  14.2302222     0.03979   1.368e-05          HL      0.0399      -99.99          HL      0.0399         DIS   1.368e-05         HEL    169.4871    176.2497    162.9841
PGC0003355  14.0958750  13.8763333     0.08235   7.805e-05          HL     0.08245      -99.99          HL     0.08245         DIS   7.805e-05         HEL    347.0994    375.7177    320.6609
PGC0003377  14.1770833  -9.9141667     0.01889   9.673e-06          HL      0.0186      -99.99          HL      0.0186         DIS   9.673e-06         HEL     79.3577     80.8337     77.9086
PGC0003451  14.4391667  -0.4122222     0.04103      -99.99          HL     0.04089      -99.99          HL     0.04089         DIS      -99.99        none    173.6987    180.8013    166.8752
PGC0003496  14.6287500 -10.1575000     0.02282   2.368e-05          HL     0.02252      -99.99          HL     0.02252         DIS   2.368e-05         HEL     95.9203     98.0804     93.8077
PGC0003563  14.9176667  15.3310000     0.01838   2.669e-05          HL      0.0185      -99.99          HL      0.0185         DIS   2.669e-05         HEL     78.9326     80.3929     77.4989
PGC0003566  14.9259583   0.9164722     0.01763   2.135e-05          HL     0.01751      -99.99          HL     0.01751         DIS   2.135e-05         HEL     74.6813     75.9890     73.3962
PGC0003569  14.9529167  14.7236111     0.04069   1.901e-05          HL      0.0408      -99.99          HL      0.0408         DIS   1.901e-05         HEL    173.2777    180.3474    166.4851
PGC0003584  15.0162500 -11.0822222     0.01809   1.468e-05          HL     0.01777      -99.99          HL     0.01777         DIS   1.468e-05         HEL     75.7443     77.0903     74.4218
PGC0003620  15.1904167  -9.1855556     0.01519      -99.99         NED      0.0149      -99.99  NED-vir-HL      0.0149         DIS      -99.99        none     63.6197     64.5676     62.6857
PGC0003781  15.9121667  -0.4912778     0.01744   3.636e-05          HL      0.0173      -99.99          HL      0.0173         DIS   3.636e-05         HEL     73.8308     75.1081     72.5753
PGC0003817  16.0709583  -0.7649444     0.01795   7.472e-05          HL      0.0178      -99.99          HL      0.0178         DIS   7.472e-05         HEL     75.9569     77.3089     74.6285
PGC0003830  16.1057083  -0.1876389     0.05076   7.305e-05          HL     0.05062      -99.99          HL     0.05062         DIS   7.305e-05         HEL    214.4586    225.3145    204.1257
PGC0003833  16.1706667  -0.8029444      0.0171   5.904e-05          HL     0.01695      -99.99          HL     0.01695         DIS   5.904e-05         HEL     72.3423     73.5686     71.1366
PGC0003904  16.5302917   0.7760000     0.01735   9.673e-06          HL     0.01722      -99.99          HL     0.01722         DIS   9.673e-06         HEL     73.4056     74.6696     72.1629
PGC0003960  16.8095833  13.9552778     0.03827   3.903e-05          HL     0.03836      -99.99          HL     0.03836         DIS   3.903e-05         HEL    162.9556    169.2066    156.9355
PGC0003976  16.8445417   0.9259167      0.0179   6.104e-05          HL     0.01777      -99.99          HL     0.01777         DIS   6.104e-05         HEL     75.7443     77.0903     74.4218
PGC0004116  17.3420000  14.3423611     0.03844   2.535e-05          HL     0.03854      -99.99          HL     0.03854         DIS   2.535e-05         HEL    163.7986    170.1114    157.7201
PGC0004124  17.3704583  14.3629722      0.0376      -99.99         NED     0.03769      -99.99  NED-vir-HL     0.03769         DIS      -99.99        none    160.2153    166.2538    154.3961
PGC0004363  18.2027917  -0.2904444      0.0176   8.906e-05          HL     0.01745      -99.99          HL     0.01745         DIS   8.906e-05         HEL     74.4687     75.7682     73.1915
PGC0004367  18.2324167   0.9810000    0.003854   1.234e-05          HL    0.003723      -99.99          HL    0.003723         DIS   1.234e-05         HEL     15.8343     15.8932     15.7756
PGC0004368  18.2396667  -0.3454167     0.01879   5.904e-05          HL     0.01864      -99.99          HL     0.01864         DIS   5.904e-05         HEL     79.5702     81.0534     78.1141
PGC0004376  18.2502083  -0.2526111     0.01775   6.104e-05          HL     0.01759      -99.99          HL     0.01759         DIS   6.104e-05         HEL     75.1065     76.4277     73.8082
PGC0004415  18.4247500  -0.1031111     0.01723   5.571e-05          HL     0.01708      -99.99          HL     0.01708         DIS   5.571e-05         HEL     72.9803     74.2268     71.7547
PGC0004416  18.4149167   0.8751944    0.003876   8.006e-06          HL    0.003742      -99.99          HL    0.003742         DIS   8.006e-06         HEL     16.0481     16.1082     15.9883
PGC0004484  18.6617917  -1.0206667     0.01864      -99.99         NED     0.01847      -99.99  NED-vir-HL     0.01847         DIS      -99.99        none     78.7201     80.1741     77.2925
PGC0004485  18.6559583   1.1808333     0.01546   1.434e-05          HL     0.01533      -99.99          HL     0.01533         DIS   1.434e-05         HEL     65.5350     66.5397     64.5456
PGC0004500  18.7395833   0.4308333     0.04488   8.206e-05          HL     0.04474      -99.99          HL     0.04474         DIS   8.206e-05         HEL    189.8968    198.3928    181.7646
PGC0004540  18.8866667  -0.8547222    0.005878   1.368e-05          HL    0.005713      -99.99          HL    0.005713         DIS   1.368e-05         HEL     24.3835     24.5228     24.2449
PGC0004608  19.1500833   1.2018333     0.01697   2.735e-05          HL     0.01684      -99.99          HL     0.01684         DIS   2.735e-05         HEL     71.9170     73.1281     70.7260
PGC0004647  19.3770833  -9.2966944    0.006464   1.401e-05          HL    0.006161      -99.99          HL    0.006161         DIS   1.401e-05         HEL     26.3061     26.4681     26.1450
PGC0004663  19.4500000  -8.6063889     0.01354   1.301e-05          HL     0.01325      -99.99          HL     0.01325         DIS   1.301e-05         HEL     56.5937     57.3435     55.8536
PGC0004734  19.7688333  -0.1389444     0.01745   2.635e-05          HL     0.01729      -99.99          HL     0.01729         DIS   2.635e-05         HEL     73.8308     75.1074     72.5760
PGC0004793  19.9979167  14.7866667      0.0138      -99.99         NED     0.01389      -99.99  NED-vir-HL     0.01389         DIS      -99.99        none     59.3621     60.1866     58.5488
PGC0004805  20.0286250  -0.2058056    0.005818   1.167e-05          HL    0.005659      -99.99          HL    0.005659         DIS   1.167e-05         HEL     24.1698     24.3066     24.0338
PGC0004812  20.0643333  -0.3360833     0.04683   7.472e-05          HL     0.04666      -99.99          HL     0.04666         DIS   7.472e-05         HEL    197.8809    207.1140    189.0593
PGC0004897  20.2889583  15.6947222      0.0171   2.068e-05          HL      0.0172      -99.99          HL      0.0172         DIS   2.068e-05         HEL     73.4056     74.6682     72.1644
PGC0004899  20.3016667  -9.2111111     0.01846   6.638e-05          HL     0.01815      -99.99          HL     0.01815         DIS   6.638e-05         HEL     77.4449     78.8505     76.0643
PGC0004906  20.3196250  -0.5445278     0.01744   2.202e-05          HL     0.01728      -99.99          HL     0.01728         DIS   2.202e-05         HEL     73.8308     75.1066     72.5767
PGC0004979  20.5397500   0.9465278    0.007809   1.034e-05          HL    0.007667      -99.99          HL    0.007667         DIS   1.034e-05         HEL     32.7122     32.9630     32.4633
PGC0004992  20.5996667  -0.8754167     0.02717   8.673e-06          HL     0.02699      -99.99          HL     0.02699         DIS   8.673e-06         HEL    114.9976    118.1014    111.9754
PGC0005055  20.8019583  -0.6413611     0.02757   6.938e-05          HL      0.0274      -99.99          HL      0.0274         DIS   6.938e-05         HEL    116.6917    119.8890    113.5796
PGC0005056  20.8073333  -0.3855278      0.0249   2.602e-05          HL     0.02474      -99.99          HL     0.02474         DIS   2.602e-05         HEL    105.4634    108.0726    102.9173
PGC0005078  20.8485833  15.2145000     0.03415   2.835e-05          HL     0.03424      -99.99          HL     0.03424         DIS   2.835e-05         HEL    145.6580    150.6453    140.8358
PGC0005220  21.2027500   1.0364167     0.01577   2.368e-05          HL     0.01563      -99.99          HL     0.01563         DIS   2.368e-05         HEL     66.8118     67.8560     65.7836
PGC0005261  21.3421250  14.8385833     0.02195   2.101e-05          HL     0.02203      -99.99          HL     0.02203         DIS   2.101e-05         HEL     94.0106     96.0816     91.9842
PGC0005270  21.3486667  14.5199722     0.03698   1.034e-05          HL     0.03706      -99.99          HL     0.03706         DIS   1.034e-05         HEL    157.4742    163.3102    151.8468
PGC0005271  21.3532917  14.8644444     0.02121   4.503e-05          HL      0.0213      -99.99          HL      0.0213         DIS   4.503e-05         HEL     90.8269     92.7616     88.9327
PGC0005291  21.4146250   0.1297222     0.01704   2.402e-05          HL     0.01688      -99.99          HL     0.01688         DIS   2.402e-05         HEL     72.1297     73.3472     70.9324
PGC0005298  21.3945833  14.9752222     0.05258   7.772e-05          HL     0.05267      -99.99          HL     0.05267         DIS   7.772e-05         HEL    223.0512    234.7993    211.8909
PGC0005326  21.5110000  -1.2259444     0.01807   6.438e-05          HL     0.01789      -99.99          HL     0.01789         DIS   6.438e-05         HEL     76.3821     77.7485     75.0396
PGC0005330  21.5207917   0.3157778     0.00643   2.735e-05          HL    0.006274      -99.99          HL    0.006274         DIS   2.735e-05         HEL     26.7333     26.9010     26.5666
PGC0005366  21.6227083   0.5487500     0.01816   2.402e-05          HL     0.01801      -99.99          HL     0.01801         DIS   2.402e-05         HEL     76.8072     78.1905     75.4484
PGC0005415  21.8054167  13.6030833     0.01504   1.134e-05          HL      0.0151      -99.99          HL      0.0151         DIS   1.134e-05         HEL     64.4710     65.4445     63.5120
PGC0005436  21.8998333  -1.1053056     0.01483    8.94e-05          HL     0.01465      -99.99          HL     0.01465         DIS    8.94e-05         HEL     62.5554     63.4719     61.6522
PGC0005449  21.9293750  -1.1397500     0.01748   4.403e-05          HL      0.0173      -99.99          HL      0.0173         DIS   4.403e-05         HEL     73.8308     75.1081     72.5753
PGC0005527  22.2223333  13.7934722     0.02113   1.534e-05          HL     0.02119      -99.99          HL     0.02119         DIS   1.534e-05         HEL     90.4024     92.3180     88.5265
PGC0005539  22.2445833  -0.9490278     0.01848   7.205e-05          HL      0.0183      -99.99          HL      0.0183         DIS   7.205e-05         HEL     78.0825     79.5114     76.6793
PGC0005540  22.2484583  -0.5621667     0.01828   5.003e-05          HL      0.0181      -99.99          HL      0.0181         DIS   5.003e-05         HEL     77.2323     78.6302     75.8593
PGC0005574  22.4340000  -1.2415556     0.01731           0          HL     0.01712      -99.99          HL     0.01712         DIS           0         HEL     72.9803     74.2297     71.7519
PGC0005645  22.7427917  14.1081944     0.01508   1.101e-05          HL     0.01514      -99.99          HL     0.01514         DIS   1.101e-05         HEL     64.6838     65.6631     63.7191
PGC0005673  22.8613333  14.2771111     0.01496   1.568e-05          HL     0.01503      -99.99          HL     0.01503         DIS   1.568e-05         HEL     64.2582     65.2240     63.3067
PGC0005688  22.9255000  -0.9329722     0.01811   1.868e-05          HL     0.01793      -99.99          HL     0.01793         DIS   1.868e-05         HEL     76.5946     77.9680     75.2455
PGC0005771  23.2587917  -0.6900000     0.01547   5.604e-05          HL     0.01529      -99.99          HL     0.01529         DIS   5.604e-05         HEL     65.3222     66.3210     64.3385
PGC0005776  23.2812917   0.1755278     0.01658   1.101e-05          HL     0.01642      -99.99          HL     0.01642         DIS   1.101e-05         HEL     70.0028     71.1523     68.8720
PGC0005792  23.3242917  13.3321944    0.009222   1.101e-05          HL    0.009275      -99.99          HL    0.009275         DIS   1.101e-05         HEL     39.7544     40.1231     39.3890
PGC0005803  23.3940000  -1.0907222     0.01579      -99.99         NED      0.0156      -99.99  NED-vir-HL      0.0156         DIS      -99.99        none     66.5990     67.6379     65.5760
PGC0005830  23.5104167  -1.0772222     0.01556   9.006e-06          HL     0.01537      -99.99          HL     0.01537         DIS   9.006e-06         HEL     65.5350     66.5423     64.5430
PGC0005838  23.5320833  -1.0325000     0.01638   1.634e-05          HL     0.01619      -99.99          HL     0.01619         DIS   1.634e-05         HEL     69.1520     70.2716     68.0503
PGC0005932  23.9625000 -10.0027778     0.01958   1.234e-05          HL     0.01925      -99.99          HL     0.01925         DIS   1.234e-05         HEL     82.1200     83.7008     80.5690
PGC0005939  24.0005417   0.6635556     0.01722   2.435e-05          HL     0.01706      -99.99          HL     0.01706         DIS   2.435e-05         HEL     72.7677     74.0091     71.5471
PGC0006004  24.3145833  -9.1975833     0.04131   0.0001248          HL     0.04099      -99.99          HL     0.04099         DIS   0.0001248         HEL    174.1198    181.2570    167.2637
PGC0006005  24.3377500  14.4627778     0.03534   1.001e-05          HL      0.0354      -99.99          HL      0.0354         DIS   1.001e-05         HEL    150.5128    155.8409    145.3668
PGC0006090  24.6975833   1.0716389     0.01662   5.404e-05          HL     0.01646      -99.99          HL     0.01646         DIS   5.404e-05         HEL     70.2156     71.3713     69.0785
PGC0006155  24.9838333  -9.2422778      0.0425   7.805e-05          HL     0.04217      -99.99          HL     0.04217         DIS   7.805e-05         HEL    178.9608    186.5075    171.7193
PGC0006193  25.1253750  14.5226389      0.0271   1.301e-05          HL     0.02717      -99.99          HL     0.02717         DIS   1.301e-05         HEL    115.6329    118.7747    112.5743
PGC0006292  25.6129167  13.9766667    0.002583   1.568e-05          HL    0.002638      -99.99          HL    0.002638         DIS   1.568e-05         HEL     11.3432     11.3731     11.3133
PGC0006309  25.7016250  13.1555556    0.002705   2.669e-05          HL    0.002746      -99.99          HL    0.002746         DIS   2.669e-05         HEL     11.7710     11.8033     11.7388
PGC0006318  25.7572083  13.6433889    0.002836   7.338e-06          HL    0.002885      -99.99          HL    0.002885         DIS   7.338e-06         HEL     12.4127     12.4485     12.3770
PGC0006364  25.9799167  13.8062500    0.008021   1.001e-05          HL    0.008071      -99.99          HL    0.008071         DIS   1.001e-05         HEL     34.4198     34.6976     34.1442
PGC0006450  26.3686250 -10.0933333     0.05183   0.0001668          HL     0.05149      -99.99          HL     0.05149         DIS   0.0001668         HEL    218.2319    229.4686    207.5454
PGC0006504  26.6583333  -8.6788889    0.006076   3.636e-05          HL    0.005753      -99.99          HL    0.005753         DIS   3.636e-05         HEL     24.5971     24.7386     24.4564
PGC0006505  26.6037500  -8.6369444       0.013   4.837e-05          HL     0.01268      -99.99          HL     0.01268         DIS   4.837e-05         HEL     54.2506     54.9385     53.5713
PGC0006516  26.6540000  14.6917778     0.02454      -99.99         NED      0.0246      -99.99  NED-vir-HL      0.0246         DIS      -99.99        none    104.8275    107.4063    102.3107
PGC0006627  27.1397500  13.4306111     0.01673   1.234e-05          HL     0.01677      -99.99          HL     0.01677         DIS   1.234e-05         HEL     71.4917     72.6906     70.3125
PGC0006628  27.1431250  13.7013056     0.01695   1.568e-05          HL       0.017      -99.99          HL       0.017         DIS   1.568e-05         HEL     72.5550     73.7884     71.3422
PGC0006636  27.1580833  13.7685000     0.01598   1.401e-05          HL     0.01602      -99.99          HL     0.01602         DIS   1.401e-05         HEL     68.3011     69.3952     67.2241
PGC0006637  27.1512500 -10.3261111    0.005369   7.539e-05          HL    0.005018      -99.99          HL    0.005018         DIS   7.539e-05         HEL     21.3920     21.4994     21.2852
PGC0006657  27.2505833  13.2110556     0.01683   8.039e-05          HL     0.01686      -99.99          HL     0.01686         DIS   8.039e-05         HEL     71.9170     73.1295     70.7246
PGC0006667  27.2933333 -10.0611111    0.006628   5.671e-06          HL    0.006281      -99.99          HL    0.006281         DIS   5.671e-06         HEL     26.9468     27.1161     26.7786
PGC0006670  27.2984583  12.8530556     0.02626   8.006e-05          HL     0.02629      -99.99          HL     0.02629         DIS   8.006e-05         HEL    112.0324    114.9777    109.1625
PGC0006671  27.2946250 -10.4263333    0.005849   1.468e-05          HL    0.005496      -99.99          HL    0.005496         DIS   1.468e-05         HEL     23.5288     23.6582     23.4002
PGC0006673  27.3087083  13.0552222     0.01697   9.873e-05          HL       0.017      -99.99          HL       0.017         DIS   9.873e-05         HEL     72.5550     73.7884     71.3422
PGC0006678  27.3384167  12.7145000     0.03342   1.001e-05          HL     0.03345      -99.99          HL     0.03345         DIS   1.001e-05         HEL    142.2794    147.0386    137.6742
PGC0006826  27.7658333  -9.7022222    0.006106   1.001e-05          HL    0.005763      -99.99          HL    0.005763         DIS   1.001e-05         HEL     24.5971     24.7388     24.4562
PGC0006832  27.7825000  -9.7913889     0.04315   8.906e-05          HL      0.0428      -99.99          HL      0.0428         DIS   8.906e-05         HEL    181.6959    189.4725    174.2385
PGC0006835  27.7947083  -1.0283056      0.0427   8.806e-05          HL      0.0425      -99.99          HL      0.0425         DIS   8.806e-05         HEL    180.4336    188.1020    173.0778
PGC0006855  27.8748750  13.1317222     0.01608   1.768e-05          HL     0.01612      -99.99          HL     0.01612         DIS   1.768e-05         HEL     68.7265     69.8344     67.6362
PGC0006861  27.8633333  -8.5058333     0.01798   7.172e-05          HL     0.01766      -99.99          HL     0.01766         DIS   7.172e-05         HEL     75.3191     76.6493     74.0121
PGC0006888  27.9523333   0.2635556     0.05922   0.0001024          HL     0.05904      -99.99          HL     0.05904         DIS   0.0001024         HEL    249.8281    264.5779    235.9005
PGC0006982  28.2486667  12.7078056      0.0152   1.835e-05          HL     0.01522      -99.99          HL     0.01522         DIS   1.835e-05         HEL     64.8966     65.8844     63.9237
