PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0003563           2         0.9     .SX.2..        0.97        0.24          23      -99.99      -99.99      -99.99      -99.99        5517      0.0184
PGC0003566           6         1.2     .S..6*.        0.98      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003569           6         1.4     .S..6*.        1.07        1.01           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003584           4         0.8     PSXR4..        1.17        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003620           4         0.9     .SXR4..        1.05        0.03       -9999      -99.99      -99.99      -99.99      -99.99        4494     0.01499
PGC0003781           6         1.3     .S..6*.        1.02        0.56         165      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003817          -3         0.8     .L..-*.        1.18        0.15         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003830          -5         0.9     .E.....        1.04        0.32           7      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003833          -2         0.6     RLBS0*.        1.15        0.05          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003904          10         1.1     .I..9*.        1.03      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0003960           4         0.9     .SX.4..           1        0.15          90      -99.99      -99.99      -99.99      -99.99       11401     0.03803
PGC0003976        -3.2         0.6     PLA.-*.        0.95        0.09          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004116           3         0.8     .SB.3..        1.17        0.19         160      -99.99      -99.99      -99.99      -99.99       11034     0.03681
PGC0004124           3         0.9     .SB.3..        0.91        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004363          -4         0.5     .E+....        1.14        0.14         140        13.8         0.4        0.95        0.04        5264     0.01756
PGC0004367           9         0.3     .SXS9..        1.61        0.12         120       11.91         0.1        0.44        0.02        1045    0.003486
PGC0004368        -1.7         0.8     .L..0*/        1.14        0.67          19      -99.99      -99.99      -99.99      -99.99        5644     0.01883
PGC0004376          -5         0.6     .E...*.        1.12        0.08         155        13.5         0.4        0.98        0.03        5283     0.01762
PGC0004415           2         0.9     .S..2..        1.03        0.27         105      -99.99      -99.99      -99.99      -99.99        5156      0.0172
PGC0004416          10         1.1     .I..9*.        1.08        0.12       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004484        -0.1         0.5     .S..0*/        0.99         0.3         157      -99.99      -99.99      -99.99      -99.99        5620     0.01875
PGC0004485           6         1.2     .S..6*.        0.95        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004500          -5         1.2     .E...*.        0.95        0.02       -9999      -99.99      -99.99      -99.99      -99.99       13439     0.04483
PGC0004540           6         0.4     .SXS6*.        1.49        0.12          72      -99.99      -99.99      -99.99      -99.99        1858    0.006198
PGC0004608           9         1.2     .S..9*.        0.96        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004647           1         1.8     .SBR1P?        1.11        0.24       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004663           9         0.8     .SBS9..        1.21        0.15       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004734           8         1.4     .S..8*.        1.14        1.07          67      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004793          -2         0.9     .L.....        1.02        0.19          85       14.18        0.13        0.85        0.01        4138      0.0138
PGC0004805           8         1.3     .S..8*.         1.1        0.43          57      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004812           4         0.9     .S..4..        0.89        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004897           5         0.9     .SB.5*.        0.89        0.14       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004899          -3         0.9     .LAR-P?        1.24        0.13       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0004906           2         0.5     .SBR2..        1.21        0.05         125      -99.99      -99.99      -99.99      -99.99        5232     0.01745
PGC0004979           6         0.5     .SXS6*/        1.53        0.51          58       12.93        0.17        0.47        0.04        2338    0.007799
PGC0004992           4         0.4     .SBT4*.        1.32        0.38         132       13.84        0.15        0.83        0.03        8114     0.02707
PGC0005055          -2         0.9     .L.....        1.06        0.28          45      -99.99      -99.99      -99.99      -99.99        8014     0.02673
PGC0005056           6         1.1     .S..6*.        1.09        0.02       -9999      -99.99      -99.99      -99.99      -99.99        7610     0.02538
PGC0005078           1         0.9     .SB.1..        0.98        0.05          45      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005220          10         1.9     .I..9?.        1.07        0.79         148      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005261          -2         0.8     .L.....        1.25        0.39         120      -99.99      -99.99      -99.99      -99.99        6574     0.02193
PGC0005270           3         0.9     .S..3..        1.18        0.56          19      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005271          -5         0.7     .E.....        1.16      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        6356      0.0212
PGC0005291          10         0.9     .I..9..        1.04        0.64         136      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005298           6         1.3     .S..6*.           1        0.55          62      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005326        -3.7         0.7     .E+..*.        0.95        0.05         135       14.65        0.15        0.95        0.02        5332     0.01779
PGC0005330           8         1.3     .S..8*.           1        0.55         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005366          10         1.2     .I..9*.           1        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005415           9         1.1     .S..9*.        1.26        0.12       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005436           0           1     .S..0..        1.06        0.72          34      -99.99      -99.99      -99.99      -99.99        4661     0.01555
PGC0005449          -5         1.2     .E...*.        0.94        0.06       -9999      -99.99      -99.99      -99.99      -99.99        5174     0.01726
PGC0005527           4         0.9     .S..4..        1.17         0.5         153      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005539         0.6         0.5     PSBT1*.        1.19        0.09         175        13.7        0.15        0.93        0.03        5493     0.01832
PGC0005540          -2         1.2     PLBS0*.        1.13         0.3          60      -99.99      -99.99      -99.99      -99.99        5450     0.01818
PGC0005574          -2         0.8     .L.....        1.09        0.18          68      -99.99      -99.99      -99.99      -99.99        5129     0.01711
PGC0005645           3         0.8     .S..3..        1.14        0.29         125      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005673           5         0.8     .SAT5..        1.17        0.03       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005688           1         0.6     .S..1*/        1.33        0.62          86      -99.99      -99.99      -99.99      -99.99        5361     0.01788
PGC0005771           5         0.8     .SXS5..        1.06        0.14          30      -99.99      -99.99      -99.99      -99.99        4581     0.01528
PGC0005776           9         0.8     .S..9..           1      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005792           6         1.2     .S..6*.        1.28        0.61         174      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005803           8         1.4     .S..8*.        0.91        0.61         118      -99.99      -99.99      -99.99      -99.99        4862     0.01622
PGC0005830           2         0.6     .SB.2P/        1.27        0.56         139      -99.99      -99.99      -99.99      -99.99        4690     0.01564
PGC0005838         1.7         0.7     .S..2*/         1.1        0.55          71      -99.99      -99.99      -99.99      -99.99        4929     0.01644
PGC0005932           3         0.8     PSBR3P.        1.17         0.2         100      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0005939         3.3         0.4     .SBT3..        1.26        0.15          45      -99.99      -99.99      -99.99      -99.99        5212     0.01739
PGC0006004          -3         0.8     .LA.-..         1.2        0.14       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006005          -2         0.8     .LXT0..        1.04        0.08       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006090          -2         0.6     .L..0..        1.12         0.3          74      -99.99      -99.99      -99.99      -99.99        4992     0.01665
PGC0006155          -2         1.2     .LBR0?.        1.18        0.12       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006193           6         1.4     .S..6*.           1        0.73         133      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0006292          10         1.1     .I..9*.        1.53         0.5          50      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
