PGC_name         T_PGC  T_PGC_err     type           D25         R25          PA     B_T_mag   e_B_T_mag       B_V_T     e_B_V_T          cz           z
PGC0043238           0         0.3     RSBS0P.        1.45        0.09          85       11.66        0.13        0.58        0.02        1108    0.003696
PGC0043241          -2         0.3     .LB..P.         1.5        0.32         140       12.06        0.13        0.63        0.02        1211    0.004039
PGC0043254           2         0.3     .SAS2..         1.6        0.21         170       11.46        0.08        0.91        0.02        1032    0.003442
PGC0043255           9           1     .S..9*.        1.35        0.03          25        13.4         0.2        0.49        0.06       -9999      -99.99
PGC0043286           3         1.2     .S..3*.        1.17        0.24          40      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043288         3.5         0.6     .SBT4P.        1.02        0.05       -9999       14.52        0.13        0.79        0.03        8098     0.02701
PGC0043303           1         1.7     .S..1$.        1.18        0.46         177      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043331           6         0.3     .SAS6..        1.44        0.11          45        12.8         0.1        0.42        0.02         718    0.002395
PGC0043338           8         1.2     .S..8*.           1        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043375          -1         0.6     .LAR+$/        1.69        0.62          27       11.91        0.13        0.89        0.01        1119    0.003733
PGC0043386           8         1.3     .S..8*.        1.19        0.72          38      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043400          10         1.2     .I..9*.        1.07        0.16       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043413           7         0.3     .SXT7..        1.43         0.2         100       12.19        0.11        0.47        0.03         631    0.002105
PGC0043428           3         0.8     .SBS3..        1.15        0.11       -9999      -99.99      -99.99      -99.99      -99.99        7092     0.02366
PGC0043430          -5         0.9     .E.....        1.08        0.29           8      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043452           6         1.3     .S..6*.        1.33         0.9         144      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043470         6.7         0.8     .S..7*/        1.23        0.85         170      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043495           2         0.3     RSAR2..        2.05        0.09         105        8.99        0.13        0.75        0.01         297   0.0009907
PGC0043504           6         1.2     .S..6*.        1.13        0.28         165      -99.99      -99.99      -99.99      -99.99        8890     0.02965
PGC0043516          -4         0.5     .E+..*.         1.3        0.46       -9999        12.7        0.13        0.85        0.01         918    0.003062
PGC0043525         5.3           1     .S..5?.        1.02        0.09         145      -99.99      -99.99      -99.99      -99.99        7538     0.02514
PGC0043575           7         0.9     .S..7..        1.27        0.48           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043601           3         1.2     .S..3*/        1.58        0.52         120       13.36        0.15      -99.99      -99.99        1465    0.004887
PGC0043656          -3         0.3     .LBR-*.        1.66        0.27          23       11.52        0.08        0.92        0.01        1396    0.004657
PGC0043671          90      -99.99     .I.0...        1.78        0.33          80       10.85         0.1         0.9        0.01        1237    0.004126
PGC0043707          10         1.1     .I..9*.        1.49        0.63         160       13.55        0.15      -99.99      -99.99       -9999      -99.99
PGC0043728           2         0.8     .S..2..        1.28        0.23          60      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043733          -2         0.3     .LBR0$/        1.94        0.72          32       11.12        0.07        0.86        0.01         971    0.003239
PGC0043750           7         0.9     .SB.7..        1.08        0.28       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043775           0         1.7     .S..0$.        1.06        0.14          80       13.42         0.1        0.41        0.02         706    0.002355
PGC0043784           7         0.7     .SA.7$/        1.59        0.67         133       12.92        0.15      -99.99      -99.99        1166    0.003889
PGC0043798           1         0.3     .SAS1..        1.53         0.3         147       11.96        0.15        0.92        0.02        1042    0.003476
PGC0043837           4         0.7     .SBT4..        1.33        0.07          70       13.19        0.15      -99.99      -99.99        2793    0.009316
PGC0043894         8.8         0.8     .SBS9?.        1.14         0.3       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043931           3         0.4     .SAT3..         1.2        0.13          25        12.3         0.2      -99.99      -99.99         747    0.002492
PGC0043939           5         0.3     .SXT5..        1.44        0.27          50        12.3         0.2        0.66        0.09        2423    0.008082
PGC0043969          10         0.4     .I..9P.        1.24        0.39          11      -99.99      -99.99      -99.99      -99.99         956    0.003189
PGC0043971          10         0.5     .I..9P.        0.89        0.19          67      -99.99      -99.99      -99.99      -99.99         876    0.002922
PGC0043996           8         1.2     .SB.8*.        1.01        0.09       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0043998         0.5         0.6     PSBR1P*        1.27        0.07         115        12.1        0.13      -99.99      -99.99        2684    0.008953
PGC0044014           7         0.3     .SBS7..        1.49        0.22         165      -99.99      -99.99      -99.99      -99.99        1340     0.00447
PGC0044025           3         0.3     .SAS3..        1.49        0.13         135        12.8         0.2      -99.99      -99.99        2531    0.008443
PGC0044032           4         0.8     .SBT4..         1.1        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044033          10         0.9     .IB.9*.        0.96         0.1       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044066         9.5           1     .IB.9?.        1.17        0.51          60      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044086           6         0.4     .SAS6*.        1.44        0.38         127       12.35         0.1        0.61        0.02         738    0.002462
PGC0044089           8         0.8     .SX.8..        1.21        0.15          15      -99.99      -99.99      -99.99      -99.99        1020    0.003402
PGC0044102          10         0.9     .I..9..        0.96         0.1       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044117           5         1.2     .SAT5$P        1.12        0.13          10       14.41        0.17         0.8        0.01       12300     0.04103
PGC0044125           7         1.2     .SBS7*.        1.07        0.25         162      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044170          10         1.2     .I..9*.        0.96      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044213           5         1.9     .S..5$.        0.83        0.28       -9999        15.3         0.2        0.27         0.1       13421     0.04477
PGC0044240         9.5         0.6     .IBS9..        1.18        0.21         170      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044254           3         1.7     .S..3P/        1.32        0.73         138      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044323        -3.5         0.6     .E+..P.        1.23      -99.99       -9999       13.77        0.18      -99.99      -99.99        6814     0.02273
PGC0044329          -5         0.6     .E...P.        1.25      -99.99       -9999       13.61        0.18      -99.99      -99.99        6230     0.02078
PGC0044354           9         0.8     .S..9..        1.08        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044370           7         0.9     .SX.7*.           1        0.16          95          15         0.3        0.51        0.06       -9999      -99.99
PGC0044388           0         1.2     .SAR0?.        1.32        0.64          90      -99.99      -99.99      -99.99      -99.99        4930     0.01644
PGC0044392           2         0.3     .SAS2./         1.7        0.58          89        12.1         0.1        0.93        0.02        1125    0.003753
PGC0044414          10         0.7     .IXS9*.        1.29        0.52       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044432           6         1.2     .SB.6?.         1.4        0.63         115      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044450           8         0.8     .SBS8..        1.19        0.06       -9999       14.42        0.15         0.3        0.05       -9999      -99.99
PGC0044468           8         1.2     .S..8*.        0.96      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044491          10         0.9     .I..9..        1.03        0.02       -9999       14.68        0.06        0.32        0.03         242   0.0008072
PGC0044495           1         1.2     .SB.1*.        1.06        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044536           9         0.4     .SBS9*.         1.6        0.43          15        12.9         0.3        0.58        0.07         809    0.002699
PGC0044557         2.3         0.6     .SA.2?.        1.21        0.03       -9999      -99.99      -99.99      -99.99      -99.99        4701     0.01568
PGC0044600          -1         0.4     .LAR+*/         1.8        0.67          87       12.14         0.1        0.92        0.02        1910    0.006371
PGC0044631           6         1.5     .S..6*.           1        1.02          47      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044641          10         0.8     .IB.9*.        1.36        0.37          53      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044719          -1         0.5     .LAR+*.         1.5        0.11         165      -99.99      -99.99      -99.99      -99.99        1491    0.004973
PGC0044731           5         0.8     .SX.5*.           1        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044733           9         1.3     .SBS9*.        1.25         0.4       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044782           0           2     .S..0?.        0.78        0.31         160        15.8         0.3        0.58        0.06        2100    0.007005
PGC0044797           5         0.3     .SBT5..        1.35        0.03       -9999        11.9        0.16        0.53        0.05        1021    0.003406
PGC0044806          -2         1.6     .L...?.        0.94      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044807          -4         0.5     .E+....        1.54        0.25         155       12.49        0.14         0.9        0.02        4678      0.0156
PGC0044838           3         0.8     PSBS3..        1.16        0.16         160      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044846           6         0.4     .SBS6..        1.34        0.18          25        12.6         0.3        0.63        0.03        1132    0.003776
PGC0044858         9.5         0.9     .IBS9*.        1.19        0.52          17      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044867          -2         0.8     .L.....        1.22        0.06       -9999      -99.99      -99.99      -99.99      -99.99       10680     0.03562
PGC0044896          90      -99.99     .I.0.P.        1.25        0.13       -9999      -99.99      -99.99      -99.99      -99.99        7112     0.02372
PGC0044908          -2         0.9     .L.....        1.05        0.26         137      -99.99      -99.99      -99.99      -99.99        7448     0.02484
PGC0044913           4         0.9     .S..4..        0.94        0.24         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044920           6         1.2     .S..6*.        0.95        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044921           2         0.9     .S..2..        1.17        0.46          89        14.7         0.2        0.88        0.03        7013     0.02339
PGC0044932           2         0.9     .S..2..        0.96        0.45          22      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044961           7         0.8     .S..7..        1.54        0.98          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044963           6         1.2     .S..6*.        1.14        0.11         110      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0044986           2         0.9     .S..2..        1.09        0.63         104      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045015           5         0.8     .SAR5..        1.18        0.06       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045039           7           1     .S..7..           1        1.02         134      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045071           7         0.8     .S..7..        1.23        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045085           6         1.2     .S..6*.        1.04        0.08       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045093           3         0.9     PSXS3..        1.08        0.08       -9999      -99.99      -99.99      -99.99      -99.99        6427     0.02144
PGC0045137           6         1.4     .S..6*.        1.17        1.09         157      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045145           3         1.4     .S..3*.        1.04         0.9           6      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045168           6         1.2     .S..6*.        1.01        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045195         7.8         0.4     .SXS8..        1.55        0.14       -9999      -99.99      -99.99      -99.99      -99.99        1317    0.004393
PGC0045196          -3         1.2     .L..-*.        0.96        0.15          10      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045233          -5         0.6     .E.....        1.25        0.21          23      -99.99      -99.99      -99.99      -99.99        5832     0.01945
PGC0045236          -2         0.8     .L.....        1.18      -99.99       -9999       13.26        0.13        0.89        0.01        4750     0.01584
PGC0045261           3         0.9     .S..3..        1.19        0.42          15      -99.99      -99.99      -99.99      -99.99       15533     0.05181
PGC0045264           2         0.9     .SB.2?.        0.97        0.24           0      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045274           8         1.3     .S..8*.        1.18         0.6          80      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045306          10         0.9     .I..9..        1.06         0.5         123      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045309           4         0.9     .S..4..         1.2        0.93         133      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045314           9         0.4     .SAS9..        1.78        0.04       -9999       11.77        0.05        0.39         0.1         212   0.0007072
PGC0045322           4         0.9     .S..4..        1.22         0.9         107      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045336           6         1.2     .S..6*.        1.19        0.11           0      -99.99      -99.99      -99.99      -99.99        4810     0.01604
PGC0045339           3         0.8     .SAR3..        1.19      -99.99       -9999      -99.99      -99.99      -99.99      -99.99        8318     0.02775
PGC0045361           8         1.2     .S..8*.        1.02      -99.99       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045362           2         0.9     .S..2..        1.19        0.05       -9999      -99.99      -99.99      -99.99      -99.99        9431     0.03146
PGC0045366           8         1.4     .S..8*.        1.08        0.97          88      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045372          10         0.7     .I..9..        1.54        0.26       -9999        12.8         0.2        0.34        0.07       -9999      -99.99
PGC0045410           8         0.8     .S..8..        1.08         0.1         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045435           3         0.9     .S..3..        0.96        0.14         105      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045451           6         1.4     .S..6*.         1.2        1.12         163      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045457           6         1.2     .S..6*.        1.01        0.07          75      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045472          -3         1.2     .L..-*.        1.04        0.09          20      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045478          -1         0.8     RLXR+*.        1.25        0.23          70      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045480         6.3         0.7     .SXT6P?        1.19         0.1         140      -99.99      -99.99      -99.99      -99.99        5399     0.01801
PGC0045491         6.5         1.4     .S..7P/        0.92        0.59         110      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045502          -5         0.9     .E.....        1.08        0.22          35      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045506          10         0.9     .I..9..           1        0.14       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045521           0         0.9     .SB.0..           1        0.12           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045522          -2         0.8     .L.....        1.11        0.05         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045528          -2         0.8     .L.....        1.09        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045534           6         1.4     .SB.6?.        1.14        0.98          43      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045538           3         0.8     .SBR3..        1.23        0.27          70      -99.99      -99.99      -99.99      -99.99        4794     0.01599
PGC0045560           2         0.8     PSXS2..        1.02        0.02       -9999        14.5        0.13        0.94        0.03       -9999      -99.99
PGC0045567           6         1.2     .SB.6*.        0.97        0.05       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045572           0         0.9     .S..0..        1.04        0.42         137      -99.99      -99.99      -99.99      -99.99        8109     0.02705
PGC0045580           3         0.8     .SBR3..        1.15        0.15          60        14.3         0.3        0.74        0.03        5993     0.01999
PGC0045583           3         1.3     PSB.3*.        0.96         0.1         130      -99.99      -99.99      -99.99      -99.99        2850    0.009507
PGC0045593           1         0.9     .S..1..        1.08        0.25          10      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045605          -3         1.3     .L..-*.        0.94        0.18         135      -99.99      -99.99      -99.99      -99.99        8345     0.02784
PGC0045610           6         1.4     .S..6*.        1.06        0.86         159      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045614           6         1.2     .S..6*.        1.23         0.4         138      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045629        -0.5         0.5     RLB.+..        1.25         0.1          40      -99.99      -99.99      -99.99      -99.99        5443     0.01816
PGC0045632           3         0.3     .SBR3..        1.39         0.1          35      -99.99      -99.99      -99.99      -99.99        5663     0.01889
PGC0045644           7         0.9     .S..7..        0.99        0.29          50      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045655          -2         0.9     .L.....        1.04        0.42         135      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045658           4         0.8     .SBT4..        1.23        0.07       -9999        13.9         0.4         0.7        0.03        5671     0.01892
PGC0045668           7         0.9     .S..7..        1.16        0.36          75      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045684           6         0.8     .SBS6..        1.54        0.73          83      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045700           6         1.3     .S..6*.        1.14        0.77          13      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045719          -2         0.9     .L.....        1.03        0.18         147      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045728           9         0.8     .SB.9*.        1.23        0.23         173      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045737           6         1.5     .S..6*.        1.04        0.94         142      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045739           3         0.9     .SB.3..        1.06        0.24          75      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045741           9         0.8     .S..9..        1.16        0.02       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045749           4         0.3     .SXT4..        1.76        0.32          65       10.61        0.08         0.8        0.01         992    0.003309
PGC0045750           6         1.1     .S..6*.        1.19        0.11          95      -99.99      -99.99      -99.99      -99.99        3399     0.01134
PGC0045755          10         0.9     .I..9..        0.97        0.24         100      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045756          -2         0.8     .L.....        1.16         0.1         170      -99.99      -99.99      -99.99      -99.99        6979     0.02328
PGC0045757           2         0.8     .SB.2..        1.14        0.24         172      -99.99      -99.99      -99.99      -99.99        7225      0.0241
PGC0045773           3         0.9     .SB.3..        1.02        0.53          27      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045778          -3         1.2     .L..-*.        1.03        0.11       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045779         5.3         0.8     .SB.5P*        1.14        0.91         113      -99.99      -99.99      -99.99      -99.99        2990    0.009974
PGC0045781           5         0.8     PSBT5..        1.12        0.19           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045782          -1         1.3     .LAR+?.        1.06        0.26         160      -99.99      -99.99      -99.99      -99.99        3825     0.01276
PGC0045787           1         1.7     .S..1$/        1.23        0.46         102        13.5         0.3        0.65        0.05        1092    0.003643
PGC0045798           8         0.9     .SB.8..        1.07         0.4         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045807           6         1.2     .S..6*.        1.22        0.48          92      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045814           6         1.4     .S..6*.           1        0.94          78      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045828           6         1.4     .S..6*.        1.06        0.74          62      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045833           3         0.9     .S..3..           1        0.29          90      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045834           3         0.9     .SB.3..        1.19        0.33          78      -99.99      -99.99      -99.99      -99.99        8250     0.02752
PGC0045840          10         1.3     .I..9*.        0.96        0.29       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045844           8         1.3     .S..8*.        1.12        0.61          32      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045848           6         1.2     .S..6*.         1.4        0.73         174      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045849         5.5         0.7     .S..6*/        1.78        0.89          28       12.85        0.15        0.53        0.04       -9999      -99.99
PGC0045875           8         1.2     .S..8*.        1.23        0.61          55      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045880          -5         0.8     .E.....        1.23        0.18         150      -99.99      -99.99      -99.99      -99.99        8747     0.02918
PGC0045883           4         0.7     .SXT4..         1.5        0.07          85      -99.99      -99.99      -99.99      -99.99        3368     0.01123
PGC0045887           3         0.8     .S..3..        1.31        0.52          57      -99.99      -99.99      -99.99      -99.99        6361     0.02122
PGC0045897          10         1.2     .I..9*.        1.21        0.01       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045905           6         1.3     .S..6*.        1.02        0.13         110      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045915           3         0.9     .S..3..        1.49        0.66          89      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045920           0           1     .S..0..        1.02        0.52         178      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045921           3         0.9     .SB.3..        0.96        0.18          30      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045927          10         0.5     .IXS9..        1.35        0.07       -9999       13.48        0.15        0.35        0.05       -9999      -99.99
PGC0045934           8         1.4     .S..8*.           1        0.94         173      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045936           3         0.8     .SBR3*.        1.08        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045938           8         1.3     .S..8*.        0.93        0.29         175      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045939          10         0.9     .I..9..        1.05        0.26         155      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0045948           5         0.3     .SAS5..        2.03        0.33         170       10.75         0.1        0.55        0.04         861    0.002872
PGC0045992           5         0.9     .SBS5$/        1.24        0.59          35      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046009          10         1.2     .I..9*.           1        0.04       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046039          10         0.7     .IB.9..        1.56        0.42         150        12.7         0.2        0.32        0.05       -9999      -99.99
PGC0046041           6         1.6     .SBS6?.        1.17        0.21          70      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046046           6         1.1     .S..6*.        1.22        0.04         150        14.1         0.2        0.75        0.03        7441     0.02482
PGC0046065          10         1.8     .I..9?.        0.98         0.1       -9999        14.3         0.3        0.55        0.06         804    0.002682
PGC0046077           1         1.9     .S..1?.        1.09        0.71          37      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046089           6         1.4     .S..6*.        1.15           1          52      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046092           0         0.9     .S..0..         0.9        0.21          80      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046093          10         0.9     .I..9..         1.2        0.44          95      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046127          10         0.8     .IA.9..        1.43        0.46         140        14.6         0.2        0.42         0.1       -9999      -99.99
PGC0046131           0         0.8     .S..0..        1.11        0.15         160      -99.99      -99.99      -99.99      -99.99        6747     0.02251
PGC0046138           0         0.9     .S..0..        1.06        0.44          35      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046152           6         1.3     .S..6*.        1.21        0.79          95      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046153           4         0.3     .SAT4..         2.1        0.24         105        9.31         0.1        0.72        0.03         516    0.001721
PGC0046171           4         0.9     .S..4..        1.08         0.4          83      -99.99      -99.99      -99.99      -99.99        6951     0.02319
PGC0046180           6         1.2     .S..6*.        1.24        0.24           0        13.7         0.2        0.57        0.02        5449     0.01818
PGC0046202          -2         0.8     .L.....        1.13        0.04       -9999      -99.99      -99.99      -99.99      -99.99        5824     0.01943
PGC0046206          -2         1.2     .L...*.        1.09        0.11         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046218           6         1.7     .S..6?.        1.02        0.04       -9999      -99.99      -99.99      -99.99      -99.99        5647     0.01884
PGC0046250           3         0.8     .SXT3..        1.06        0.06       -9999      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046262           6         1.4     .S..6*.        0.96        0.69         138      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046263          -2         0.8     .L.....        1.08        0.05         150      -99.99      -99.99      -99.99      -99.99        2794     0.00932
PGC0046278           3         0.9     .SBS3..        1.06        0.14          55      -99.99      -99.99      -99.99      -99.99        6265      0.0209
PGC0046293           7         0.8     .S..7..         1.1        0.22          90      -99.99      -99.99      -99.99      -99.99        5699     0.01901
PGC0046319           3         1.3     .SBS3P?        1.07        0.41         135      -99.99      -99.99      -99.99      -99.99        9944     0.03317
PGC0046321           3         0.8     .S..3..        1.23        0.33          70      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046336           6         0.6     .SXR6P*        1.16        0.08          60      -99.99      -99.99      -99.99      -99.99        5739     0.01914
PGC0046342           2           1     .S..2..        0.96        0.51         150      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046354           3         0.9     .SA.3P$        0.94        0.05       -9999        14.4         0.4        0.39        0.04        5665      0.0189
PGC0046355           3         0.9     PSBR3..        1.04        0.18           5      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046372           6         1.4     .S..6*.        1.08        1.05          53      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046386           7         0.8     .SBS7..        1.37        0.23         115       14.29        0.19        0.46        0.09       -9999      -99.99
PGC0046413           6         0.8     .SBR6..         1.1        0.04         130      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046427           3         0.8     .SB.3..        1.35        0.44         103       14.07        0.11        1.03        0.03        6667     0.02224
PGC0046472           1         0.9     .S..1..        1.14        0.32         143      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046507           0           1     .S..0..        1.02         0.6         133      -99.99      -99.99      -99.99      -99.99        5438     0.01814
PGC0046530           6         1.3     .S..6*.        1.09        0.71          72      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046534           4         0.9     .S..4..        1.07        0.62          79      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046548           3         0.9     .S..3..        1.08         0.1           0      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046556          10         0.9     .IB.9..        1.02        0.24         140      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046560          10         0.6     .I..9*P        1.19        0.15       -9999      -99.99      -99.99      -99.99      -99.99        6892     0.02299
PGC0046561          -1         0.9     PLBR+*.        1.05        0.43         126      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046601           8         1.3     .S..8*.           1        0.55         155      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046617           6         1.2     .S..6*.         1.2        0.19         105      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046633           1         0.8     .S..1*.        1.07        0.45         170      -99.99      -99.99      -99.99      -99.99        5610     0.01871
PGC0046636         6.7         0.7     .SBS7?/        1.23        0.52         128      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046644           2         0.9     .S..2..        0.96        0.15          80      -99.99      -99.99      -99.99      -99.99       -9999      -99.99
PGC0046647           4         0.9     .S..4..        1.11        0.32          13      -99.99      -99.99      -99.99      -99.99        5051     0.01685
PGC0046657           3         0.9     .SBR3..        0.98        0.13          85      -99.99      -99.99      -99.99      -99.99        7235     0.02413
