PGC_name         cz      redshift   nedname 
PGC008397        1531    0.005107    NGC_0853
PGC008399        7744     0.02583   UGC_01687
PGC008406        4412     0.01472   UGC_01689
PGC008412        3821     0.01274   UGC_01693
PGC008439       12185     0.04065   UGC_01698
PGC008464       12312     0.04107   UGC_01702
PGC008502        4787     0.01597 KUG_0210-078
PGC008522       12336     0.04115   UGC_01710
PGC008526        5974     0.01993    NGC_0856
PGC008586        7910     0.02639    NGC_0863
PGC008659        8046     0.02684    NGC_0868
PGC008718        6471     0.02159    NGC_0867
PGC008876        7716     0.02574   UGC_01794
PGC008929        7306     0.02437   UGC_01809
PGC008979       -9999      -99.99   UGC_01824
PGC009028        1539    0.005134   UGC_01839
PGC009256        6421     0.02142    NGC_0926
PGC009283        1535     0.00512     IC_0225
PGC009352        6353     0.02119    NGC_0934
PGC009359        1430     0.00477    NGC_0936
PGC009376       12275     0.04094   UGC_01934
PGC009406        1464    0.004883   UGC_01949
PGC009414        1608    0.005364    NGC_0941
PGC009445        6063     0.02022   UGC_01962
PGC009514        6605     0.02203     IC_0231
PGC009530        1507    0.005027   UGC_01981
PGC009549        1487     0.00496    NGC_0955
PGC009617        6334     0.02113   UGC_01998
PGC009621        4916      0.0164    NGC_0960
PGC009642        6609     0.02204   UGC_02005
PGC009643        6541     0.02182   UGC_02004
PGC009684        6162     0.02055   UGC_02018
PGC009711        6698     0.02234   UGC_02024
PGC009765        6585     0.02196   UGC_02044
PGC009817       12934     0.04314    NGC_0985
PGC009822        6602     0.02202 KUG_0232-079
PGC009843        1510    0.005037    NGC_0988
PGC009846        1532     0.00511    NGC_0991
PGC009869        2616    0.008726   UGC_02081
PGC009880       11228     0.03745   UGC_02088
PGC009894        6597     0.02201   UGC_02091
PGC010060        2694    0.008986    NGC_1032
PGC010065        1241     0.00414    NGC_1035
PGC010108        7285      0.0243    NGC_1033
PGC010117        1185    0.003953   UGC_02162
PGC010122        1371    0.004573    NGC_1042
PGC010132        1340     0.00447    NGC_1047
PGC010137       11264     0.03757   NGC_1048A
PGC010140       11624     0.03877    NGC_1048
PGC010175        1510    0.005037    NGC_1052
PGC010208         994    0.003314    NGC_1055
PGC010213        1372    0.004575 SDSS_J024149.95-075530.0
PGC010249        9255     0.03087    NGC_1064
PGC010285        9539     0.03182    NGC_1069
PGC010290       11465     0.03824    NGC_1071
PGC010315        8018     0.02674    NGC_1072
PGC010381        2763    0.009218   UGC_02216
PGC010464        1407    0.004693    NGC_1084
PGC010496        1517     0.00506    NGC_1087
PGC010507        2760    0.009206    NGC_1090
PGC010559        6464     0.02156    NGC_1094
PGC010574        8340     0.02782   UGC_02271
PGC010634        6512     0.02172    NGC_1104
PGC010647        6490     0.02165     IC_1856
PGC010649        7362     0.02456    I_Zw_009
PGC010651        8401     0.02802   UGC_02292
PGC010673        1333    0.004446    NGC_1110
PGC010697        7111     0.02372   UGC_02311
PGC010726        6514     0.02173 CGCG_389-028
PGC010747        7035     0.02347   UGC_02319
PGC010766        5330     0.01778 MCG_-02-08-012
PGC010794        6977     0.02327 KUG_0248-069A
PGC010843        6929     0.02311   UGC_02343
PGC010854        1506    0.005023   UGC_02345
PGC010857        8727     0.02911   UGC_02346
PGC010875        5022     0.01675 MCG_-02-08-014
PGC011000        7016      0.0234   UGC_02385
PGC011007        8459     0.02822    NGC_1141
PGC011067        4955     0.01653   UGC_02404
PGC011075        4142     0.01382   UGC_02403
PGC011112        6877     0.02294   UGC_02418
PGC011148        5191     0.01732    NGC_1148
PGC011154        4702     0.01569   UGC_02428
PGC011170        8736     0.02914    NGC_1149
PGC011397        2653     0.00885   UGC_02482
PGC011537        4076      0.0136    NGC_1194
PGC011573        2159    0.007202 SDSS_J030420.86-065947.2
PGC011598        6919     0.02308   UGC_02523
PGC011670        3216     0.01073    NGC_1211
PGC011751        3675     0.01226 SDSS_J030828.27-074908.5
PGC011767        8687     0.02898 MCG_-01-09-006
PGC011813        3731     0.01244    NGC_1234
PGC011912        6905     0.02303   UGC_02585
PGC011919        8084     0.02697   UGC_02587
PGC011966        6826     0.02277   UGC_02594
PGC012017        7789     0.02598     IC_0307
PGC012090       -9999      -99.99 IRAS_F03126-0726
PGC012163        6821     0.02275   UGC_02628
PGC012220        6806      0.0227   UGC_02645
PGC012259        5239     0.01748    NGC_1285
PGC012262        6840     0.02282    NGC_1280
PGC012466        2336    0.007792    NGC_1299
PGC012531        6285     0.02097   UGC_02690
PGC012560        6309     0.02105   UGC_02692
PGC012620        7961     0.02656   UGC_02699
PGC012633        2723    0.009083 KUG_0319-072
PGC012655        6869     0.02291   UGC_02705
PGC012733        6475      0.0216   UGC_02721
PGC012772        5668     0.01891    NGC_1324
PGC012801       10339     0.03449    MRK_0609
PGC012803       10463      0.0349    MRK_0610
PGC013005        4180     0.01394 MCG_-01-09-041
PGC013009        4059     0.01354    NGC_1346
PGC013117        9129     0.03045     IC_0330
PGC013204       10211     0.03406 MCG_-01-10-004
PGC013218        5272     0.01759    NGC_1361
PGC013308        3083     0.01028    UGCA_080
PGC013394        6669     0.02224 MCG_-01-10-012
PGC013406       -9999      -99.99 CGCG_391-021
PGC013407       -9999      -99.99 2MASX_J03381629-0539232
PGC013421        6177      0.0206 MCG_-01-10-014
PGC013426        4136      0.0138 MCG_-01-10-015
PGC013535        5248     0.01751 MCG_-01-10-019
PGC013600        5192     0.01732 MCG_-01-10-023
PGC013702       12179     0.04062   UGC_02842
PGC013879        6307     0.02104 MCG_-01-10-038
PGC013903        4142     0.01382   UGC_02872
PGC014004        9893       0.033    NGC_1468
